Neighborhood,Year,Population,Economy: Median worker earnings,Economy: Percent below poverty level,Economy: Unemployment rate,Race: White,Race: Black or African American,Race: American Indian and Alaska Native,Race: Asian,Race: Native Hawaiian and Other Pacific Islander,Race: Other,Race: Two or more,Ethnicity: Hispanic or Latino,Ethnicity: Not Hispanic or Latino,Immigration: Native-born,Immigration: Native-born – in the US,"Immigration: Native-born – in Puerto Rico, US islands, or abroad to US parents",Immigration: Foreign-born,Immigration: Foreign-born – Naturalized citizen,Immigration: Foreign-born: Not US citizen,Immigration: Foreign-born – Europe,Immigration: Foreign-born – Asia,Immigration: Foreign-born – Africa,Immigration: Foreign-born – Oceania,Immigration: Foreign-born – Latin America,Immigration: Foreign-born – North America,Language: Population 5+ years,Language: English only,Language: Not English,Language: Not English – Speaks English 'less than well',Language: Spanish,Language: Spanish – Speaks English 'less than well',Language: Other Indo-European,Language: Other Indo-European – Speaks English 'less than well',Language: Asian and Pacific Islander,Language: Asian and Pacific Islander – Speaks English 'less than well',Language: Other,Language: Other – Speaks English 'less than well'
Washington Heights - Inwood,2011,264239.0,23250.752916866928,25.941393965311708,13.402199145470577,86098,49646,1428,6417,148,102487,18015,176957,87282,141053,131281,9772,123186,53190,69996,6396,6413,1761,256,107507,853,249542,72843,176699,96138,159760,90368,9988,3162,4102,1763,2849,845
Washington Heights - Inwood,2012,263281.0,23927.948769565595,25.760172591261806,13.995254499944926,87606,49793,1269,6421,195,98185,19812,175714,87567,140661,131610,9051,122620,54062,68558,6005,6633,1938,237,106972,835,248809,73840,174969,94343,157743,88769,9810,2950,4005,1603,3411,1021
Washington Heights - Inwood,2013,263511.0,23683.751164088026,26.073834109392017,14.609112712562284,89954,47064,1375,6538,353,98547,19680,176410,87101,141904,132847,9057,121607,55077,66530,6059,5864,2400,228,106333,723,248531,73586,174945,93245,158160,87931,9721,2864,3993,1500,3071,950
Washington Heights - Inwood,2014,266451.0,23940.71668712071,25.401667848872773,13.694483413460638,91905,46058,1829,7046,273,97509,21831,177476,88975,143940,134169,9771,122511,56015,66496,6500,5612,2589,218,106956,636,251154,76252,174902,91740,157852,86604,9520,2530,3761,1447,3769,1159
Washington Heights - Inwood,2015,269556.0,24721.11620961878,25.551811497425398,12.826992906854237,92367,46131,2087,7935,347,98723,21966,179207,90349,146281,136818,9463,123275,57704,65571,6350,6218,2528,192,107305,682,254190,78372,175818,90518,158166,85308,9314,2648,4293,1484,4045,1078
Washington Heights - Inwood,2016,272304.0,25652.774751748046,25.00711043539573,11.444886597332394,95932,46876,2202,8270,206,93883,24935,178701,93603,147642,138182,9460,124662,60811,63851,6971,6448,2817,276,107232,918,257253,80203,177050,90293,157145,84341,10369,2846,4848,1782,4688,1324
Washington Heights - Inwood,2017,276566.0,27281.918652328917,23.50981754807171,9.722430812175032,97095,46984,2003,8560,253,94431,27240,179514,97052,152728,142046,10682,123838,61385,62453,7214,6285,2998,314,106106,921,261845,83486,178359,90870,157986,84908,10592,2860,4717,1635,5064,1467
Washington Heights - Inwood,2018,271606.0,29469.54787817648,21.492362098039074,8.604070970449843,93734,45874,2276,9399,260,91616,28447,175284,96322,149565,139276,10289,122041,61832,60209,7358,7069,3576,243,102777,1018,257248,81820,175428,87943,153736,82192,11533,3120,5046,1648,5113,983
Washington Heights - Inwood,2019,268348.0,31165.10601532339,19.99324533814301,7.515270097038174,94294,45129,1884,9317,256,90609,26859,172073,96275,149030,139785,9245,119318,61583,57735,7352,7337,3296,245,100046,1042,254660,81715,172945,86090,150496,80181,12263,3259,5673,1839,4513,811
Washington Heights - Inwood,2020,265585.0,33721.24722405257,19.3602323173372,9.168286612572246,87406,43084,2560,8923,206,90293,33113,168685,96900,151949,143318,8631,113636,61968,51668,6929,6947,3104,316,95524,816,252736,84894,167842,80649,146298,75418,12019,2912,5395,1541,4130,778
Washington Heights - Inwood,2021,272205.0,35476.018746900314,18.40024172957881,11.071072169871972,80212,41815,3269,9691,203,99464,37551,174009,98196,156592,147945,8647,115613,64445,51168,6854,7462,3135,238,97243,681,259575,88141,171434,80668,150774,75755,11588,2925,5386,1289,3686,699
Jamaica,2011,285295.0,31269.681669850506,15.075080180164392,12.556457351162834,32119,157277,1508,44544,254,39387,10206,50809,234486,163489,158599,4890,121806,69024,52782,4602,27085,5145,25,84484,465,267001,174049,92952,44798,40791,21835,35926,16714,11308,4700,4927,1549
Jamaica,2012,289098.0,31194.489270074508,15.33458377436025,13.209622688500094,32450,159106,1453,45653,268,39043,11125,51409,237689,164205,158918,5287,124893,71510,53383,4613,27699,5119,35,87067,360,271137,176392,94745,44570,41259,21551,37042,17147,11226,4336,5218,1536
Jamaica,2013,297296.0,31069.16212125289,16.06500726548625,14.234634505677842,36755,160672,1535,46604,127,39540,12063,55628,241668,167995,162494,5501,129301,74371,54930,4824,30023,4997,34,89167,256,278240,176529,101711,48897,44794,23554,40244,18819,11362,4975,5311,1549
Jamaica,2014,308452.0,30717.9026752947,15.99305402461323,14.053930595360058,36244,164584,1562,50509,131,40339,15083,60715,247737,174679,168919,5760,133773,78052,55721,4806,32288,5832,54,90582,211,287754,183172,104582,49693,44959,22957,42350,20172,11232,4946,6041,1618
Jamaica,2015,308098.0,30524.298190835383,15.539210900427786,12.77535167381807,36587,164291,1398,52536,108,40885,12293,56408,251690,171861,166072,5789,136237,80371,55866,4738,33820,5652,54,91731,242,287627,183900,103727,50136,43279,22493,43693,20804,10366,4673,6389,2166
Jamaica,2016,313056.0,30585.92538076255,14.799802910661352,11.691681679955025,36314,165431,1117,54486,37,43863,11808,57017,256039,173290,167322,5968,139766,83349,56417,4707,35622,5567,83,93518,269,292943,185557,107386,50769,44301,22038,45414,21537,10679,4999,6992,2195
Jamaica,2017,319201.0,31876.84780122869,13.480395424826364,10.308458933399331,35523,166190,1255,57697,151,46922,11463,57628,261573,174870,168942,5928,144331,88757,55574,4674,37403,6083,50,95822,299,298414,189413,109001,51784,44175,21855,46810,22036,10805,5154,7211,2739
Jamaica,2018,312564.0,33768.235558157685,12.931059559002316,8.906670633854187,31117,163290,1166,57016,162,48774,11039,54771,257793,172459,166458,6001,140105,88282,51823,4079,37736,5685,71,92262,272,292824,187680,105144,51060,41434,20767,46270,22781,10075,4588,7365,2924
Jamaica,2019,312357.0,34792.30816661705,12.07086506785505,8.177123611764744,32405,161062,1307,58201,242,48194,10946,54569,257788,170472,164278,6194,141885,91239,50646,4316,39510,5707,47,91926,379,292673,184901,107772,52901,41961,21157,48588,23912,10389,4952,6834,2880
Jamaica,2020,309667.0,36440.83702816251,11.723109340033004,8.362690567609723,31895,157505,1608,58666,268,44952,14773,52068,257599,167934,162329,5605,141733,91681,50052,5038,39391,5575,49,91346,334,289710,183051,106659,53342,40362,20510,49443,25187,10328,5006,6526,2639
Jamaica,2021,327533.0,38552.22512846033,12.017923690131987,9.035403455529671,30812,161932,2730,62301,214,52132,17412,56221,271312,176700,170687,6013,150833,99335,51498,5069,41387,6518,31,97544,284,306498,191683,114815,59847,44260,23438,54045,28823,9729,4793,6781,2793
Southeast Queens,2011,267616.0,40435.74985426881,5.877959837976802,7.724230614014109,81338,121658,661,45497,147,9534,8781,27605,240011,164636,161040,3596,102980,69414,33566,6740,29013,3306,29,63562,330,253518,165733,87785,30652,20558,6759,44322,15437,18330,7752,4575,704
Southeast Queens,2012,266817.0,40600.35642781382,6.792030492809679,8.374997844964902,80938,120747,673,45099,144,10219,8997,28437,238380,164191,160348,3843,102626,70106,32520,6401,28526,3380,39,63963,317,252555,165134,87421,30509,21159,6903,44727,15827,17238,7165,4297,614
Southeast Queens,2013,269244.0,40750.90748911767,7.054118197620003,8.630429276047005,78889,120253,524,47404,182,12488,9504,30047,239197,164257,160447,3810,104987,72107,32880,6421,30847,3237,32,64134,316,254801,165480,89321,32357,21956,7563,45742,16226,17877,7876,3746,692
Southeast Queens,2014,268353.0,40391.45272830936,7.583178127317376,8.516369110835354,76941,120141,590,47144,154,13403,9980,30225,238128,163772,159547,4225,104581,72957,31624,5927,30662,3122,22,64501,347,254011,165972,88039,32494,22570,8323,44651,16069,17091,7452,3727,650
Southeast Queens,2015,269239.0,40324.7151293089,7.247291439947406,7.855132057391388,77131,119100,536,48060,199,14469,9744,31657,237582,165486,161188,4298,103753,74050,29703,5760,30677,3247,23,63807,239,254535,167065,87470,32319,23348,8803,44090,15582,16763,7267,3269,667
Southeast Queens,2016,270493.0,40863.25551123319,7.060020776877774,7.30230689888463,75172,120075,508,49431,337,15558,9412,30814,239679,165998,161519,4479,104495,75362,29133,5928,31605,3410,23,63294,235,255402,170028,85374,32671,22081,8199,41565,15534,17935,8111,3793,827
Southeast Queens,2017,275928.0,42449.62920037111,6.798770693804181,6.755094807341045,72886,121507,842,51622,373,19251,9447,33738,242190,167703,162766,4937,108225,78180,30045,6093,33777,3367,17,64760,211,260604,170427,90177,35496,24545,9742,42595,16228,19362,8612,3675,914
Southeast Queens,2018,273181.0,44053.20628081748,6.432516902712854,5.897103751725047,71643,120079,1281,51748,337,19325,8768,34444,238737,165877,160896,4981,107304,78529,28775,5287,33283,3198,26,65288,222,257328,167608,89720,34587,25401,9945,41720,15785,19030,7974,3569,883
Southeast Queens,2019,272974.0,45979.94995127741,6.014731805959542,5.425231340713768,69616,118500,1566,53058,287,20957,8990,35860,237114,164277,159560,4717,108697,79418,29279,5548,34271,3024,55,65536,263,258105,167462,90643,34753,25772,9497,42148,16247,19321,8130,3402,879
Southeast Queens,2020,273636.0,47311.77718794311,6.3329313394436415,5.488391878261631,66026,116847,1474,54777,255,22301,11956,35625,238011,164623,159333,5290,109013,81464,27549,5628,34838,2638,53,65645,211,258652,168658,89994,34152,25898,9824,41948,15376,18559,8031,3589,921
Southeast Queens,2021,285958.0,50045.543020303674,6.293546255044447,6.024094797138041,62271,120885,1618,60713,39,25854,14578,38004,247954,170339,165092,5247,115619,85810,29809,5589,38037,2680,39,69002,272,271322,174080,97242,38024,28232,11308,43751,16589,21100,8914,4159,1213
Bayside - Little Neck,2011,88842.0,44274.58866301974,7.393937552058712,7.152725062470452,48852,1967,292,32863,17,3153,1698,10088,78754,53359,52115,1244,35483,24221,11262,4907,24454,522,11,5370,219,83944,37456,46488,21489,7469,2594,11194,3400,27141,15321,684,174
Bayside - Little Neck,2012,89965.0,43813.55748346579,7.891782359806591,7.6893947646306895,46973,2475,230,34867,72,3253,2095,9920,80045,52771,51575,1196,37194,25225,11969,5072,25715,669,20,5506,212,84997,36161,48836,22955,7435,2624,11293,3176,29314,16917,794,238
Bayside - Little Neck,2013,90567.0,42988.08549471662,8.451335475393908,8.105548378548479,45602,1988,245,36872,89,3468,2303,9936,80631,52583,51390,1193,37984,25708,12276,5275,26578,601,36,5361,133,85474,36478,48996,23716,7422,2864,10515,3030,30336,17641,723,181
Bayside - Little Neck,2014,90776.0,43591.31097426632,8.160598616374372,7.543487265356482,44302,2046,199,38043,103,3370,2713,10514,80262,52065,50793,1272,38711,26564,12147,5284,27011,680,45,5583,108,85764,36364,49400,24946,7802,2990,9781,3243,30955,18436,862,277
Bayside - Little Neck,2015,90957.0,46376.14699253494,8.356206779027453,6.615781083369065,44086,2194,238,38351,93,3474,2521,10339,80618,52939,51688,1251,38018,26160,11858,5203,26847,511,45,5269,143,86042,37406,48636,24197,7244,2657,9284,2974,31305,18328,803,238
Bayside - Little Neck,2016,90165.0,46752.19988909222,7.848033050518493,5.615582543115399,43396,2292,37,38876,59,2946,2559,10444,79721,52580,51342,1238,37585,26017,11568,4910,27225,437,26,4885,102,85469,37283,48186,24912,7133,2370,8384,3033,31919,19306,750,203
Bayside - Little Neck,2017,90823.0,47073.48364401088,8.602892439139865,5.173702696453541,42789,2179,120,39747,4,3856,2128,10620,80203,52918,51584,1334,37905,26784,11121,4789,27637,240,17,5099,123,85925,37564,48361,25363,7598,2852,8013,2948,32030,19411,720,152
Bayside - Little Neck,2018,89725.0,49310.251134020626,7.714596823627751,4.3660183895235445,41392,2298,315,40676,9,3265,1770,9609,80116,51862,50370,1492,37863,26821,11042,4446,28260,249,12,4712,184,85234,36876,48358,25076,6703,2350,7780,2836,32937,19733,938,157
Bayside - Little Neck,2019,88855.0,50963.95842665016,7.293332958190311,4.031436610207642,40748,3326,310,39492,4,3177,1798,10412,78443,52063,50589,1474,36792,25988,10804,3946,27381,357,8,4889,211,84589,37293,47296,23755,6943,2312,7263,2239,32250,19130,840,74
Bayside - Little Neck,2020,89925.0,50001.00465943842,7.066527661940507,3.849622463163748,38858,3360,344,40297,0,3329,3737,11894,78031,53939,51735,2204,35986,25999,9987,3518,27191,311,7,4760,199,85452,38156,47296,24544,7461,2931,7036,2342,32067,19202,732,69
Bayside - Little Neck,2021,95662.0,51825.99834835148,7.789582070205515,5.161636804582802,40240,3247,639,42424,0,4410,4702,13329,82333,57491,55680,1811,38171,26984,11187,4099,28474,369,9,5062,158,90651,41190,49461,25322,7874,3039,8041,2477,32621,19684,925,122
Bensonhurst - Bay Ridge,2011,192615.0,36347.4471250941,13.837999117410378,7.722224125846896,132945,2889,527,45253,304,8187,2510,24134,168481,115426,111627,3799,77189,47772,29417,28097,36177,2761,106,9776,272,181900,78981,102919,61113,16411,9213,42127,24048,34712,23754,9669,4098
Bensonhurst - Bay Ridge,2012,197258.0,37475.18474282412,14.781211408409291,8.738397428748137,134196,2939,551,46605,109,10182,2676,26401,170857,116848,112686,4162,80410,49357,31053,28420,38196,2955,82,10536,221,185614,79262,106352,63627,17440,9618,42419,24691,35711,24534,10782,4784
Bensonhurst - Bay Ridge,2013,199708.0,38099.72910949987,15.028225709535924,9.437253890680394,133571,3123,553,48681,138,10755,2887,26210,173498,115382,110757,4625,84326,51924,32402,29829,40242,3276,79,10555,345,188016,78966,109050,64313,17324,9254,43933,25143,37051,25140,10742,4776
Bensonhurst - Bay Ridge,2014,206938.0,37399.285989040196,16.056526592505968,9.16392059457422,133038,3129,631,53863,129,12719,3429,28219,178719,117971,112673,5298,88967,54330,34637,29862,44613,3467,85,10510,430,194606,79309,115297,66584,18150,9043,44184,24638,42098,28431,10865,4472
Bensonhurst - Bay Ridge,2015,209288.0,37885.86072302282,16.120319368525667,8.597017506976034,130822,3054,343,57490,3,14089,3487,29656,179632,117106,111737,5369,92182,56376,35806,28891,47852,3543,108,11352,436,196423,77218,119205,67684,19602,9335,43432,23932,45222,30034,10949,4383
Bensonhurst - Bay Ridge,2016,205714.0,38010.62754114937,15.413001545835481,7.725209757235774,126923,3027,447,57923,55,13744,3595,29694,176020,113830,108780,5050,91884,56622,35262,28101,47964,3920,88,11423,388,192381,75739,116642,66013,19500,9509,41525,22466,45531,29847,10086,4191
Bensonhurst - Bay Ridge,2017,206909.0,38483.253367422396,14.89099652504241,6.783080484657507,125745,3427,532,58917,81,13425,4782,29902,177007,113743,108582,5161,93166,57786,35380,27499,49126,4059,81,11931,470,193757,75997,117760,66749,19780,9764,40652,22147,46419,30476,10909,4362
Bensonhurst - Bay Ridge,2018,205749.0,39236.754064418295,15.306669291223773,6.100819445051981,120866,3963,540,59999,111,14387,5883,32552,173197,113374,107927,5447,92375,56948,35427,25088,49718,4018,90,13114,347,192130,75587,116543,66664,21376,11100,37552,20540,46807,30812,10808,4212
Bensonhurst - Bay Ridge,2019,204774.0,40808.04375555491,13.636057311963434,5.18096828698956,117944,4550,544,59883,104,15127,6622,33665,171109,113305,108043,5262,91469,56793,34676,23841,49269,4413,75,13579,292,191474,75134,116340,66706,22444,12040,36275,19759,46545,30546,11076,4361
Bensonhurst - Bay Ridge,2020,202618.0,41688.473008321074,13.526427069658173,5.705823766891391,114299,5268,342,58585,86,15232,8806,33461,169157,113586,108586,5000,89032,55194,33838,22766,48112,4738,42,13150,224,189928,75756,114172,63154,21576,10510,34562,18367,45308,29404,12726,4873
Bensonhurst - Bay Ridge,2021,213566.0,44277.10120056564,14.438646132811403,6.43336392496933,118436,5354,1132,60093,56,17156,11339,35580,177986,120898,115302,5596,92668,57399,35269,24384,49110,5160,48,13653,313,200823,81417,119406,65227,22674,10642,37925,20622,45137,28913,13670,5050
Greenwich Village - SoHo,2011,81969.0,57400.897790628165,11.31866559309007,6.0111908160402105,60052,2168,47,16004,10,1663,2025,4588,77381,61143,59717,1426,20826,10592,10234,6058,11113,304,509,2037,805,78848,54880,23968,9716,3630,748,7457,1385,11917,7583,964,0
Greenwich Village - SoHo,2012,81686.0,60743.358837499705,10.618427882378867,6.142926572484882,59750,2108,82,15963,19,1470,2294,4527,77159,61184,59700,1484,20502,10312,10190,6196,10871,244,475,1846,870,78551,54372,24179,9739,3870,986,7709,1249,11529,7441,1071,63
Greenwich Village - SoHo,2013,82807.0,68759.09638074075,9.940019563563466,6.153763570712621,61210,2167,154,15150,59,1435,2632,4990,77817,62162,60818,1344,20645,10361,10284,6464,10202,277,661,1945,1096,79853,56176,23677,8789,4089,908,7868,1348,10694,6469,1026,64
Greenwich Village - SoHo,2014,83618.0,70831.67169748139,9.960269320002869,5.378218804563611,62495,2240,233,14480,50,1422,2698,5394,78224,63178,61570,1608,20440,9890,10550,6197,9937,386,799,2065,1056,80310,57324,22986,8145,4308,973,7337,1235,10126,5866,1215,71
Greenwich Village - SoHo,2015,82305.0,73653.98495838649,9.348858514063544,5.062885608407751,60335,2311,221,14747,26,1815,2850,5488,76817,61071,59339,1732,21234,10016,11218,5811,10813,439,965,2093,1113,78968,56461,22507,8148,4088,1023,6733,727,10615,6317,1071,81
Greenwich Village - SoHo,2016,84211.0,75568.61795964898,8.823015995535025,4.710904751160775,62356,2429,200,14768,12,1438,3008,5616,78595,62997,61314,1683,21214,9592,11622,6156,10470,417,995,1945,1231,80764,58701,22063,7721,3900,913,6986,627,10180,6086,997,95
Greenwich Village - SoHo,2017,85940.0,78685.49241331161,9.810053525715617,4.212235280428205,62384,2520,110,16335,21,1355,3215,5402,80538,63550,61896,1654,22390,10643,11747,5873,11880,570,1109,1656,1302,81861,59578,22283,8255,3543,596,6847,557,11153,7059,740,43
Greenwich Village - SoHo,2018,82858.0,78363.05038740978,9.6362970383065,4.102398078640566,60686,2247,129,15379,0,1301,3116,5269,77589,61839,60196,1643,21019,9915,11104,5398,11385,538,1003,1479,1216,78970,58603,20367,7912,3048,571,6107,324,10547,6968,665,49
Greenwich Village - SoHo,2019,82461.0,82494.91263748924,9.010008367591954,4.125382908283916,60867,2145,91,14762,0,1519,3077,5841,76620,62102,60456,1646,20359,9821,10538,5572,10317,453,1043,1633,1341,78681,59462,19219,7143,2969,640,6196,326,9520,6137,534,40
Greenwich Village - SoHo,2020,80762.0,87006.10431886282,8.347581783512048,4.689048067160298,60369,2037,43,13327,0,1060,3926,6225,74537,60491,58840,1651,20271,10685,9586,6089,9424,452,1036,2056,1214,77124,57974,19150,6361,3083,568,6922,299,8347,5462,798,32
Greenwich Village - SoHo,2021,81647.0,88804.51025757223,9.458158903572697,5.251458106237829,58547,2345,54,14668,0,1597,4436,6948,74699,61050,59259,1791,20597,11023,9574,6383,9542,446,1046,2104,1076,78643,59675,18968,6870,3402,655,6289,319,8511,5822,766,74
Gramercy Park - Murray Hill,2011,127158.0,73458.44365277844,8.5232537473065,5.656538322402051,99195,4114,130,16658,0,4093,2968,11306,115852,97353,94648,2705,29805,13366,16439,9961,11992,1312,382,5183,975,122761,88486,34275,8826,9894,2545,13502,2449,8582,3486,2297,346
Gramercy Park - Murray Hill,2012,127474.0,74215.99868992894,8.736149332412884,6.049084519196071,99675,4526,182,17183,0,3176,2732,10152,117322,97998,95461,2537,29476,13402,16074,10489,12318,1035,305,4381,948,122557,88078,34479,8442,8928,2094,14003,2557,9224,3465,2324,326
Gramercy Park - Murray Hill,2013,127613.0,76011.6765533292,9.272353913786214,6.152540885332999,97783,4504,194,18415,7,3301,3409,11267,116346,97876,95220,2656,29737,13939,15798,9869,13346,995,428,4173,926,122744,87150,35594,8382,9380,1944,13384,2086,9975,3907,2855,445
Gramercy Park - Murray Hill,2014,126797.0,78892.90817606094,9.617127376830682,5.530461288516289,95710,4843,282,19386,7,3467,3102,11131,115666,96103,93551,2552,30694,14634,16060,10128,13987,1084,487,3958,1050,121830,87519,34311,8113,8371,1473,12658,2211,10501,3939,2781,490
Gramercy Park - Murray Hill,2015,129167.0,82415.36060294039,9.625155806049534,4.859497394845433,97665,4461,259,20712,6,3318,2746,10847,118320,97759,95099,2660,31408,15408,16000,10069,14232,1121,499,4275,1212,123765,90183,33582,7435,8010,1342,12190,1625,10911,4201,2471,267
Gramercy Park - Murray Hill,2016,130093.0,84770.87393633786,8.940235062609057,3.7726049825893786,98742,4512,332,21737,6,1219,3545,11413,118680,99760,96523,3237,30333,15589,14744,9345,14938,1133,548,3196,1173,124461,91081,33380,8063,7564,1377,11147,1411,12172,4884,2497,391
Gramercy Park - Murray Hill,2017,131762.0,89300.39424113175,8.830590762131722,3.4499795085077642,99558,4518,313,22050,25,1264,4034,12120,119642,101093,97720,3373,30669,16332,14337,8941,14985,1377,541,3649,1176,126568,92925,33643,8006,7943,1548,11719,1721,11569,4349,2412,388
Gramercy Park - Murray Hill,2018,131713.0,92031.1189176467,8.654157903927478,3.397282728356351,99122,4531,358,22870,19,1441,3372,9864,121849,100044,97278,2766,31669,16490,15179,9309,15479,1102,522,4023,1234,126528,93242,33286,8424,6996,1456,11865,2170,12327,4496,2098,302
Gramercy Park - Murray Hill,2019,135768.0,93758.45191797773,7.726187319545106,2.9865063932590896,100688,6185,203,23771,25,1685,3211,11338,124430,102544,99624,2920,33224,17080,16144,8831,16652,1110,520,4775,1336,130406,95300,35106,8478,8261,1509,11948,2057,13026,4665,1871,247
Gramercy Park - Murray Hill,2020,135314.0,94926.07087219357,7.599556586901576,3.6821230619152487,98735,6446,134,21655,31,2011,6302,13599,121715,102446,99478,2968,32868,17292,15576,8859,15335,1029,501,5744,1400,130116,94145,35971,8087,10237,1676,12313,2048,11760,4065,1661,298
Gramercy Park - Murray Hill,2021,138768.0,97820.85466389946,7.950206820016142,4.023493168453823,100662,6302,109,21210,62,2527,7896,13999,124769,104969,102172,2797,33799,17617,16182,9611,14997,1149,464,6217,1361,133333,97619,35714,7167,10667,1496,13418,2306,10187,3125,1442,240
Downtown - Heights - Park Slope,2011,229931.0,50029.39624930957,16.07791163435987,7.807022541545074,144444,37526,716,14946,32,23123,9144,43490,186441,188245,178276,9969,41686,20708,20978,10456,10368,1611,753,16813,1685,214252,151527,62725,21643,33172,12854,19053,4469,7768,3367,2732,953
Downtown - Heights - Park Slope,2012,232353.0,51098.98937823054,16.436840927382043,8.210316630299587,146828,37179,650,16046,32,22193,9425,44397,187956,189101,178843,10258,43252,21569,21683,10178,11256,1710,679,17728,1701,216297,150681,65616,22601,34246,13480,19802,4382,8319,3552,3249,1187
Downtown - Heights - Park Slope,2013,239485.0,51364.46856379314,17.052933586654696,8.566236298724345,151004,36417,712,16922,65,23691,10674,46011,193474,194675,184149,10526,44810,21834,22976,10766,11739,1490,723,18363,1729,221742,153974,67768,22910,35049,13130,20359,4592,9180,4098,3180,1090
Downtown - Heights - Park Slope,2014,243136.0,53268.18892718479,16.471181972229534,8.147715270465913,152659,36962,692,18355,67,22966,11435,45885,197251,197801,187189,10612,45335,22771,22564,11266,12548,1645,828,17484,1564,224871,156011,68860,23031,34505,12705,20646,4821,10103,4479,3606,1026
Downtown - Heights - Park Slope,2015,246166.0,55283.37387778979,16.320887531178148,7.781806992029769,156737,36676,529,19311,86,21303,11524,45285,200881,200409,189654,10755,45757,22633,23124,12243,12997,1534,752,16521,1710,227546,158830,68716,22707,34211,12242,20792,4890,10197,4684,3516,891
Downtown - Heights - Park Slope,2016,249816.0,58396.91091043007,15.994148092996445,6.957978672302815,159901,36988,459,20090,115,19996,12267,43232,206584,203555,193244,10311,46261,22696,23565,12323,13678,1700,908,15969,1683,230314,162489,67825,22630,32026,11669,21105,5027,10793,4973,3901,961
Downtown - Heights - Park Slope,2017,255437.0,61822.00520676331,15.113020823138386,6.410600656913447,162830,39006,610,21181,164,18524,13122,43124,212313,209208,198802,10406,46229,22813,23416,12878,13711,1737,968,15133,1802,234902,168488,66414,21765,30637,10930,20631,4798,11539,5234,3607,803
Downtown - Heights - Park Slope,2018,258295.0,66286.71582492886,14.880063880446775,5.9887009040051105,165187,39846,796,21456,344,16906,13760,41566,216729,211197,201184,10013,47098,23488,23610,13225,13758,2176,1019,15061,1859,237742,172081,65661,20089,28738,9971,21219,4709,11618,4578,4086,831
Downtown - Heights - Park Slope,2019,259781.0,69711.90971241161,14.213500217490886,5.645669621719834,168175,40405,846,22230,374,14379,13372,39209,220572,213524,204097,9427,46257,23363,22894,12618,13610,2065,940,14976,2048,238515,174371,64144,18930,26529,8951,21729,4647,11898,4521,3988,811
Downtown - Heights - Park Slope,2020,262916.0,72498.8568630285,14.418510474828464,5.933947724748589,167654,38354,783,24074,334,13048,18669,38960,223956,215239,206595,8644,47677,24141,23536,12165,14761,2361,918,15592,1880,240974,174336,66638,19625,25235,8388,24685,5789,13060,4630,3658,818
Downtown - Heights - Park Slope,2021,275295.0,77203.18039194318,13.738156523002598,6.891064494451407,174663,38182,1261,25018,703,13395,22073,40692,234603,225155,216478,8677,50140,25447,24693,13352,15185,2111,845,16511,2136,252297,181838,70459,21083,26370,9014,27388,6741,13159,4614,3542,714
Chelsea - Clinton,2011,140604.0,61726.19624619498,12.474000028448692,7.4445933259366734,100667,8715,820,18715,13,6324,5350,20984,119620,104566,100347,4219,36038,16013,20025,10175,12939,749,671,9656,1848,135906,92433,43473,12648,17072,6093,14202,2096,10864,4169,1335,290
Chelsea - Clinton,2012,141346.0,65650.27035077044,11.713231361340258,7.694987477537391,101439,8537,739,19007,16,5739,5869,21546,119800,104901,100978,3923,36445,16170,20275,9839,13897,733,689,9433,1854,136483,93069,43414,12392,17013,6059,13958,1892,10806,4115,1637,326
Chelsea - Clinton,2013,142682.0,67098.06668535626,12.069126449026507,7.485150894997267,101966,9349,733,19722,13,5561,5338,21031,121651,104929,101272,3657,37753,17295,20458,10258,14521,1041,622,9280,2031,137828,93631,44197,12762,16281,5791,14157,1983,11310,4587,2449,401
Chelsea - Clinton,2014,146650.0,69317.23082168428,12.0600068189567,6.572876235935901,104487,9026,593,21787,37,5413,5307,21085,125565,106878,103346,3532,39772,17963,21809,11044,15458,1167,628,9481,1994,141661,95516,46145,13448,15839,5461,14467,2403,12849,5256,2990,328
Chelsea - Clinton,2015,149683.0,72756.33659132967,12.464016621794057,5.903039089275335,105448,9459,501,23479,24,5817,4955,21817,127866,108699,105007,3692,40984,18660,22324,10647,16829,1376,864,9294,1974,144925,98027,46898,13980,16093,5391,13378,2147,13459,6005,3968,437
Chelsea - Clinton,2016,148912.0,75806.1605041904,12.321103739121092,5.3310982325131615,104815,9576,411,24297,57,5443,4313,21336,127576,106457,102694,3763,42455,18948,23507,10987,17636,1540,1017,9066,2209,144319,98027,46292,13757,16040,5006,12593,2236,14082,6155,3577,360
Chelsea - Clinton,2017,152837.0,77712.74775087184,13.16347285016063,4.864042738342156,106492,10550,402,25311,62,5550,4470,22671,130166,108045,103506,4539,44792,20148,24644,11403,18842,1881,1140,9601,1925,148051,99862,48189,14158,16653,4807,12691,2407,15234,6411,3611,533
Chelsea - Clinton,2018,154214.0,82839.57615391599,12.790487244997212,4.467989936062874,107526,9229,592,26112,111,5736,4908,23657,130557,107096,102533,4563,47118,21406,25712,11973,19829,1905,1106,10305,2000,149481,101336,48145,14902,16813,5171,12540,2518,15920,6741,2872,472
Chelsea - Clinton,2019,156857.0,88576.50087021936,12.27367283576761,4.339062968181209,109645,9105,627,26128,85,6156,5111,24679,132178,109784,104947,4837,47073,21842,25231,11311,20093,1729,1233,10680,2027,152234,103772,48462,13888,17644,5109,12400,2471,15767,5949,2651,359
